id,count_blast,AvgIdBlast
A0A068FVC1,9,96.46155555555555
A0A068FZD0,12,84.91133333333333
A0A068FZK6,54,90.80325925925926
A0A075P9Z7,291,96.27232302405498
A0A075PBX8,297,97.01786531986532
A0A075PD73,298,97.7911812080537
A0A075PDJ4,86,91.86066279069767
A0A075PEI0,269,92.22762453531598
A0A075PGD7,296,95.10519594594594
A0A075PIY7,211,97.07217061611374
A0A081LGM0,21,99.48066666666666
A0A081LGS0,32,96.5595625
A0A081LH88,277,89.91641155234657
A0A081LHZ1,13,95.48076923076923
A0A081LIG1,6,99.355
A0A081LIL7,123,94.90919512195121
A0A081LIQ7,200,97.34871
A0A081LIU7,170,93.27165294117647
A0A081LIZ8,42,93.03714285714285
A0A081LJ04,173,96.60276300578033
A0A081LJ19,274,90.03139781021898
A0A081LJ22,109,96.57353211009173
A0A081LJ43,267,91.11920599250936
A0A081LJN2,291,87.2955120274914
A0A081LKL2,106,93.34335849056605
A0A081LKM0,136,95.05230147058823
A0A081LKY8,201,91.59213930348258
A0A081LLK9,54,95.38144444444444
A0A081LLP6,44,93.58990909090909
A0A081LLP7,45,90.0731111111111
A0A081LLZ8,87,95.43714942528734
A0A081LMQ0,94,94.93137234042554
A0A081LMR1,30,97.19573333333332
A0A081LND6,184,96.99954891304348
A0A081LNG6,246,94.71545528455285
A0A081LNN3,152,96.00874342105263
A0A081LNX9,78,97.62992307692308
A0A081LPH2,248,88.12979435483871
A0A081LPM6,286,88.37840909090909
A0A081LPP7,223,89.9725605381166
A0A081LPY9,169,90.07949704142011
A0A081LQ62,62,93.78243548387097
A0A081LQI3,63,97.62152380952381
A0A081LQW4,120,94.08627500000001
A0A081LQY8,187,86.23351336898395
A0A081LQZ6,47,94.55568085106384
A0A081LR30,80,97.50052500000001
A0A081LR72,297,94.08664983164984
A0A081LR95,300,97.38904333333333
A0A081LRA2,38,97.48076315789474
A0A081LRA9,223,92.48733183856501
A0A081LRE5,163,95.95314110429447
A0A081LRT3,144,97.00029166666667
A0A081LRY1,111,96.22703603603603
A0A081LRY3,48,92.92666666666666
A0A081LRY4,299,86.20967558528427
A0A081LS20,62,91.71727419354839
A0A081LS22,147,91.9869387755102
A0A081LS29,29,97.38555172413793
A0A081LS60,79,96.89456962025316
A0A081LSI3,96,97.5095
A0A081UM32,162,93.69624074074073
A0A081UMC3,169,95.52268639053256
A0A081UMJ4,123,95.41656910569105
A0A081UMK4,136,93.742
A0A081UML1,62,95.23383870967741
A0A081UMM7,83,93.30719277108435
A0A081UMS2,107,95.75043925233645
A0A081UMS5,154,95.51314935064934
A0A081UMY1,134,96.44959701492537
